,course_enrolled,discoverccm_tv,discoverccm_radio,info_ccm_admissions,decision_programs,participate_open_house,decision_oldcollege,decisioncomp_other,discoverccm_socialmedia,info_ccm_website,participate_festival,discoverccm_billboard,decisioncomp_family_job,participate_decision_day,participate_college_fair,decision_online_offerings,discoverccm_other,decisioncomp_dual_enrollment,decision_financialaid,decision_reputation,discoverccm_web,participate_summer_camp,age,participate_hs_campus_visit,info_ccm_workforce_dev,decisioncomp_hs_computing,info_nj_development,decision_transfer_credits,discoverccm_employer,decision_location_convenience,decision_affordable,decisioncomp_work,gender,info_employer,decisioncomp__hs_club,participate_challenger,decisioncomp_employer,discoverccm_student,discoverccm_inapp,race_ethnicity,discoverccm_hs_counselor,decisioncomp_influence,decisioncomp_ap_class,info_hs_counselor,decision_ccmstaff,participate_on_campus_session,participate_hs_info_session,decision_njstars_program,additional_comp_classes,decision_hs_credit,decision_class_sizes,info_hs_teacher,reason,discoverccm_relative,decisioncomp_afterschool_camp,participate_workforce,discoverccm_hs_teacher,decisioncomp_summer_camp,info_ccm_counselor,discoverccm_web,decisioncomp_hs_staff,discoverccm_community,participate_campus_visit,decisioncomp_ccmstudent,decision_opportunities,comp_first_choice,decision_transfer_4yr,participate_women_who_dare,participate_sharetime,info_other,degree,decision_scholarships,timestamp,participate_cybersecurity,participate_corporate_training,decision_referral,decisioncomp_stem,year
25,CMP 239 Internet & Web Page Design,No,No,,High Impact,Yes,No Impact,No Impact,No,,No,No,High Impact,No,No,High Impact,Yes,No Impact,No Impact,High Impact,No,No,19-20,Yes,,No Impact,,Some Impact,No,High Impact,High Impact,No Impact,Man,,No Impact,No,No Impact,Yes,No,Hispanic or Latino,Yes,High Impact,No Impact,,Some Impact,No,No,No Impact,5.0,No Impact,Some Impact,,"Because the future is in computers, especially since there's not much left to do during this time.",Yes,No Impact,No,Yes,No Impact,,Yes,No Impact,Yes,No,No Impact,Some Impact,,High Impact,No,No,,Undecided,No Impact,2020-09-09 18:34:29-05:00,No,No,High Impact,No Impact,2020
26,CMP 239 Internet & Web Page Design,No,No,,High Impact,No,No Impact,High Impact,No,,No,Yes,Some Impact,No,No,High Impact,Yes,No Impact,No Impact,No Impact,Yes,No,35-64,No,,No Impact,,Some Impact,No,High Impact,High Impact,No Impact,Woman,,No Impact,No,No Impact,Yes,No,Hispanic or Latino,No,Some Impact,No Impact,,No Impact,No,No,No Impact,5.0,No Impact,No Impact,,"It keeps things interesting. I am an older student working in IT and I find that I came into IT with time and need for resources, but I don't have the background that new hires have in computers, particularly exposure to programming, different OS, etc.",No,No Impact,No,No,No Impact,,No,No Impact,No,No,No Impact,No Impact,,No Impact,No,No,,Non Degree seeking,No Impact,2020-09-09 18:35:29-05:00,No,No,No Impact,No Impact,2020
27,CMP 239 Internet & Web Page Design,No,No,,Some Impact,Yes,Some Impact,,No,,No,No,,No,No,Some Impact,Don't recall,,Some Impact,Some Impact,No,No,19-20,No,,,,Some Impact,No,Some Impact,Some Impact,,Woman,,,No,,Yes,No,Hispanic or Latino,No,,,,Some Impact,Yes,No,,2.0,Some Impact,Some Impact,,I am not a very technologically oriented however I believe in having diverse skills.,Yes,,No,No,,,Yes,,No,No,,Some Impact,,Some Impact,No,No,,Business Administration,Some Impact,2020-09-09 18:36:37-05:00,No,No,Some Impact,,2020
28,CMP 128 Computer Science I,No,No,Yes,Some Impact,Not Sure,,No Impact,No,Yes,Not Sure,Don't recall,No Impact,Yes,Not Sure,Some Impact,No,No Impact,High Impact,Some Impact,Yes,Not Sure,21-24,Not Sure,Don't recall,Some Impact,Don't recall,,No,Some Impact,High Impact,No Impact,Man,Don't recall,No Impact,Not Sure,No Impact,Yes,No,White/Caucasian,No,No Impact,No Impact,Don't recall,,No,Not Sure,,,,No Impact,Don't recall,,Yes,No Impact,Not Sure,No,No Impact,No,No,No Impact,No,Not Sure,No Impact,No Impact,First Choice,Some Impact,No,Not Sure,Don't recall,"CIS Game Development Option, Applied Associate of Science",,2020-09-10 10:25:38-05:00,Not Sure,Not Sure,,No Impact,2020
29,CMP 128 Computer Science I,No,No,Yes,High Impact,Yes,,,Yes,No,No,No,High Impact,No,Yes,High Impact,No,,High Impact,High Impact,No,No,19-20,No,No,,No,,No,High Impact,High Impact,,Woman,No,,No,,No,No,White/Caucasian,Yes,High Impact,,No,High Impact,No,Yes,,,,High Impact,No,,Yes,,No,Yes,,Yes,No,Some Impact,No,No,,High Impact,radiography,,No,No,No,"Information Technology, Applied Associate of Science",High Impact,2020-09-10 10:34:47-05:00,No,No,High Impact,,2020
30,CMP 128 Computer Science I,Don't recall,Don't recall,,,Yes,Some Impact,,Don't recall,,No,Don't recall,,No,No,,Don't recall,,,,Don't recall,No,19-20,No,,,,,Don't recall,,High Impact,,Man,,,No,,Don't recall,Don't recall,Multi-Racial,Don't recall,,,,,Yes,No,High Impact,1.0,,Some Impact,,I am only taking this CMP class as a replacement for ENR 120 which is not offered by the college anymore,Yes,,No,Yes,,,Don't recall,,Don't recall,No,,,,High Impact,No,No,,Engineering,,2020-09-10 11:31:16-05:00,No,No,,,2020
31,CMP 128 Computer Science I,No,No,,High Impact,Yes,,,No,,No,Yes,,No,Yes,No Impact,Don't recall,,Some Impact,Some Impact,Yes,No,21-24,Not Sure,,Some Impact,,High Impact,No,Some Impact,High Impact,,Man,,,No,,No,No,White/Caucasian,Yes,,Some Impact,,Some Impact,Yes,Yes,,3.0,Some Impact,Some Impact,,"For me, writing in a computer language is difficult.  Just like learning any new language.",Yes,Some Impact,No,Yes,,,Yes,,No,No,,Some Impact,,High Impact,No,No,,Engineering,High Impact,2020-09-10 12:40:05-05:00,No,No,Some Impact,,2020
32,CMP 239 Internet & Web Page Design,No,No,No,No Impact,No,No Impact,No Impact,No,Yes,Yes,No,Some Impact,No,No,,Don't recall,No Impact,No Impact,No Impact,No,No,19-20,No,No,Some Impact,No,No Impact,No,Some Impact,High Impact,No Impact,Man,No,No Impact,No,No Impact,No,No,White/Caucasian,Yes,Some Impact,No Impact,No,No Impact,No,Yes,No Impact,,No Impact,Some Impact,No,,Yes,No Impact,No,Yes,No Impact,No,No,No Impact,No,No,No Impact,No Impact,First Choice,High Impact,No,No,No,"Information Technology, Applied Associate of Science",No Impact,2020-09-10 12:55:21-05:00,No,No,Some Impact,No Impact,2020
33,CMP 128 Computer Science I,No,No,,No Impact,Yes,Some Impact,No Impact,No,,No,No,No Impact,No,No,No Impact,No,No Impact,Some Impact,Some Impact,No,No,21-24,Yes,,No Impact,,Some Impact,No,High Impact,High Impact,No Impact,Woman,,No Impact,No,No Impact,No,No,Hispanic or Latino,Yes,No Impact,No Impact,,Some Impact,No,No,High Impact,3.0,High Impact,High Impact,,Is a really good tool to know about computing but i also known is very complicated. i took two computer programming classes in my last college and they were really challenging. so i do not think i see myself taking another class after this one.,No,No Impact,No,Yes,No Impact,,No,No Impact,No,No,No Impact,Some Impact,,High Impact,No,No,,Engineering,Some Impact,2020-09-10 13:05:00-05:00,No,No,No Impact,No Impact,2020
34,CMP 128 Computer Science I,No,No,Yes,Some Impact,No,No Impact,No Impact,No,No,No,No,High Impact,Yes,No,No Impact,No,No Impact,No Impact,Some Impact,No,No,18 -,Yes,No,Some Impact,No,No Impact,No,High Impact,High Impact,No Impact,Woman,No,No Impact,No,No Impact,Yes,No,Hispanic or Latino,No,High Impact,No Impact,Yes,No Impact,No,Yes,No Impact,,No Impact,Some Impact,No,,Yes,No Impact,No,No,No Impact,Yes,Yes,No Impact,No,No,High Impact,No Impact,First Choice,High Impact,No,No,No,"Computer Science, Associate of Science",No Impact,2020-09-10 13:35:39-05:00,No,No,High Impact,No Impact,2020
35,CMP 128 Computer Science I,No,Yes,,No Impact,No,No Impact,,No,,No,Yes,,No,No,No Impact,No,,No Impact,No Impact,No,No,19-20,No,,Some Impact,,No Impact,No,High Impact,High Impact,,Man,,Some Impact,No,,No,No,Asian,Yes,,,,No Impact,No,No,No Impact,3.0,No Impact,No Impact,,Computer Science is not my main focus,Yes,,No,Yes,,,No,,No,No,,No Impact,,High Impact,No,No,,Non Degree seeking,No Impact,2020-09-10 14:18:06-05:00,No,No,No Impact,,2020
36,CMP 128 Computer Science I,No,No,,High Impact,No,No Impact,No Impact,Yes,,No,No,No Impact,No,No,Some Impact,No,No Impact,No Impact,High Impact,No,No,21-24,No,,No Impact,,No Impact,No,High Impact,Some Impact,No Impact,Man,,No Impact,No,No Impact,Yes,No,White/Caucasian,Yes,Some Impact,No Impact,,No Impact,No,No,No Impact,3.0,No Impact,No Impact,,"It is too soon to tell being my first class, but if all goes well I will be interested ",Yes,No Impact,No,Yes,No Impact,,Yes,No Impact,Yes,No,Some Impact,No Impact,,High Impact,No,No,,Engineering,No Impact,2020-09-10 14:20:05-05:00,No,No,High Impact,No Impact,2020
